Order ID,Order Date,Order Time,Month,Month No,Quarter,Year,Day of Week,Week No,Customer ID,Customer Name,Customer Email,Customer Phone,Customer Age,Customer Gender,Customer Segment,Loyalty Tier,Account Age (Days),Shipping Country,Shipping State,Shipping City,Pincode,Product ID,Product Name,Brand,Main Category,Sub Category,SKU,Product Rating (Avg),Units Ordered,Unit Price (₹),Discount %,Coupon Code,Gross Amount (₹),Discount Amount (₹),Net Revenue (₹),COGS (₹),Gross Profit (₹),Profit Margin %,Shipping Method,Shipping Cost (₹),Warehouse Location,Estimated Delivery Days,Actual Delivery Days,On-Time Delivery,Delivery Status,Return Requested,Return Reason,Refund Amount (₹),Payment Method,Payment Status,EMI Months,Platform,Traffic Source,Campaign Name,Device Type,App/Web,Order Satisfaction,Review Score,Review Text Sentiment,Repeat Customer,Customer Lifetime Orders,Month_Year
EC-2022-04-000041,2022-04-18,15:23:43,April,4,Q2,2022,Monday,16,C10764,Nikhil Mishra,nikhil.mishra64@yahoo.com,+91 9054468284,43,Male,Premium,Silver,1499,India,Punjab,Chandigarh,160001,P010,"Samsung 55"" 4K QLED",Samsung,Electronics,Televisions,SAM-TV55-QLED,4.7,5,89990,0,NONE,449950,0,449950,238474,211476,47.0,Express (2-3 days),0,Kolkata WH,3,4,No,Delivered,No,,0,Credit Card,Paid,0,Amazon,Organic Search,SEO-Organic,Mobile,App,4.7,5,Positive,Yes,19,2022-04
EC-2022-01-000044,2022-01-16,16:18:58,January,1,Q1,2022,Sunday,2,C55537,Kavya Desai,kavya.desai66@gmail.com,+91 9919954664,65,Male,Regular,Silver,36,India,Kerala,Thiruvananthapuram,695001,P012,"Sony Bravia 43"" LED",Sony,Electronics,Televisions,SNY-BRV43,4.5,1,44990,0,NONE,44990,0,44990,22945,22045,49.0,Standard (5-7 days),0,Kolkata WH,6,7,No,Delivered,No,,0,UPI,Paid,0,Meesho,Referral,Refer-Earn-50,Mobile,App,2.9,3,Positive,No,5,2022-01
EC-2022-12-000053,2022-12-09,19:43:25,December,12,Q4,2022,Friday,49,C72826,Priya Dubey,priya.dubey86@gmail.com,+91 9428391595,60,Male,Regular,Silver,1043,India,Kerala,Thiruvananthapuram,695001,P014,Samsung Tab S9+,Samsung,Electronics,Tablets,SAM-TABS9P,4.6,7,84999,10,FLAT10,594993,59499,535494,273102,262392,49.0,Express (2-3 days),0,Chennai WH,2,2,Yes,Delivered,No,,0,UPI,Paid,0,Meesho,Instagram Ads,IG-Reel-Shop,Mobile,App,2.8,3,Positive,No,20,2022-12
EC-2022-07-000056,2022-07-14,11:04:53,July,7,Q3,2022,Thursday,28,C24491,Priya Krishnan,priya.krishnan83@yahoo.com,+91 7389760062,35,Female,Regular,Bronze,152,India,Andhra Pradesh,Guntur,522001,P008,HP Spectre x360,HP,Electronics,Laptops,HP-SPX360-14,4.5,1,169900,0,NONE,169900,0,169900,90047,79853,47.0,Next Day,0,Mumbai WH,2,2,Yes,Delivered,No,,0,Buy Now Pay Later,Paid,0,Amazon,Influencer,Influencer-Collab,Mobile,App,2.1,2,Neutral,Yes,23,2022-07
EC-2024-06-000057,2024-06-18,16:43:54,June,6,Q2,2024,Tuesday,25,C25348,Kiran Trivedi,kiran.trivedi67@gmail.com,+91 7401715022,29,Female,Premium,Silver,889,India,Kerala,Thiruvananthapuram,695001,P003,Samsung Galaxy S24,Samsung,Electronics,Smartphones,SAM-S24-256,4.6,5,79999,25,SUPER25,399995,99999,299996,152998,146998,49.0,Free Shipping,0,Mumbai WH,5,5,Yes,Delivered,No,,0,Net Banking,Paid,0,Amazon,Organic Search,SEO-Organic,Mobile,App,4.8,5,Positive,Yes,6,2024-06
EC-2024-05-000063,2024-05-05,09:21:45,May,5,Q2,2024,Sunday,18,C26743,Kavya Krishnan,kavya.krishnan30@gmail.com,+91 7739377541,23,Female,Regular,Silver,448,India,Tamil Nadu,Madurai,625001,P008,HP Spectre x360,HP,Electronics,Laptops,HP-SPX360-14,4.5,5,169900,0,NONE,849500,0,849500,450235,399265,47.0,Express (2-3 days),0,Bengaluru WH,3,3,Yes,Delivered,No,,0,Debit Card,Paid,0,Myntra,Instagram Ads,IG-Reel-Shop,Desktop,Web,2.7,2,Neutral,Yes,15,2024-05
EC-2024-08-000064,2024-08-19,13:45:58,August,8,Q3,2024,Monday,34,C26056,Aditi Kumar,aditi.kumar80@gmail.com,+91 9817066147,61,Male,Regular,Bronze,827,India,Delhi,Dwarka,110075,P012,"Sony Bravia 43"" LED",Sony,Electronics,Televisions,SNY-BRV43,4.5,5,44990,10,FLAT10,224950,22495,202455,103252,99203,49.0,Standard (5-7 days),0,Hyderabad WH,7,7,Yes,Delivered,No,,0,UPI,Failed,0,Myntra,Organic Search,SEO-Organic,Mobile,App,2.0,2,Positive,Yes,16,2024-08
EC-2022-12-000067,2022-12-08,10:24:35,December,12,Q4,2022,Thursday,49,C60364,Yash Shah,yash.shah33@gmail.com,+91 9300014191,36,Male,New Customer,Gold,105,India,Andhra Pradesh,Vijayawada,520001,P008,HP Spectre x360,HP,Electronics,Laptops,HP-SPX360-14,4.5,5,169900,5,SAVE5,849500,42475,807025,427723,379302,47.0,Same Day,0,Kolkata WH,1,1,Yes,Delivered,No,,0,EMI,Paid,12,Company Website,Direct,Direct-Visit,Mobile,App,1.2,1,Negative,Yes,7,2022-12
EC-2022-08-000077,2022-08-16,08:25:57,August,8,Q3,2022,Tuesday,33,C18417,Akash Das,akash.das50@gmail.com,+91 9647791641,36,Male,Premium,Silver,991,India,Punjab,Amritsar,143001,P009,Lenovo IdeaPad Slim 5,Lenovo,Electronics,Laptops,LEN-IPS5-16,4.2,2,52990,5,SAVE5,105980,5299,100681,50340,50341,50.0,Express (2-3 days),0,Hyderabad WH,3,6,No,Delivered,No,,0,Credit Card,Paid,0,Company Website,Google Ads,GGL-PMax-2024,Mobile,App,3.9,4,Neutral,Yes,4,2022-08
EC-2024-09-000078,2024-09-07,20:29:23,September,9,Q3,2024,Saturday,36,C47011,Sneha Agarwal,sneha.agarwal10@yahoo.com,+91 8775997000,39,Female,Regular,Gold,169,India,Karnataka,Mangaluru,575001,P003,Samsung Galaxy S24,Samsung,Electronics,Smartphones,SAM-S24-256,4.6,1,79999,0,NONE,79999,0,79999,40799,39200,49.0,Free Shipping,0,Chennai WH,7,7,Yes,Delivered,No,,0,UPI,Paid,0,Company Website,Organic Search,SEO-Organic,Desktop,Web,1.2,2,Neutral,No,16,2024-09
EC-2023-11-000082,2023-11-13,09:48:41,November,11,Q4,2023,Monday,46,C17429,Lakshmi Chatterjee,lakshmi.chatterjee20@gmail.com,+91 7797614992,23,Female,Churned,Bronze,299,India,Karnataka,Mysuru,570001,P002,iPhone 15 Pro 256GB,Apple,Electronics,Smartphones,APL-IPH15P-256,4.8,4,134900,0,NONE,539600,0,539600,269800,269800,50.0,Standard (5-7 days),0,Chennai WH,5,5,Yes,Delivered,Yes,Product Not as Described,512620,UPI,Paid,0,BigBasket,Email Campaign,Email-Winback,Mobile,App,1.7,2,Positive,No,4,2023-11
EC-2023-10-000087,2023-10-02,15:36:22,October,10,Q4,2023,Monday,40,C64772,Raghu Nair,raghu.nair16@gmail.com,+91 9723448839,28,Female,Regular,Bronze,1109,India,Rajasthan,Udaipur,313001,P007,Dell XPS 15 i7,Dell,Electronics,Laptops,DEL-XPS15-I7,4.6,5,135000,25,SUPER25,675000,168750,506250,263250,243000,48.0,Next Day,0,Hyderabad WH,1,2,No,Delivered,No,,0,Credit Card,Paid,0,Flipkart,Email Campaign,Email-Winback,Desktop,Web,3.8,4,Positive,Yes,4,2023-10
EC-2024-01-000091,2024-01-28,19:50:26,January,1,Q1,2024,Sunday,4,C57549,Nikhil Shah,nikhil.shah38@gmail.com,+91 7170937837,28,Male,Premium,Gold,1416,India,Uttar Pradesh,Agra,282001,P012,"Sony Bravia 43"" LED",Sony,Electronics,Televisions,SNY-BRV43,4.5,3,44990,10,FLAT10,134970,13497,121473,61951,59522,49.0,Express (2-3 days),0,Mumbai WH,3,3,Yes,Delivered,No,,0,UPI,Paid,0,Company Website,App Notification,Push-Flash-Sale,Mobile,App,1.6,2,Positive,Yes,1,2024-01
EC-2022-07-000096,2022-07-21,12:53:35,July,7,Q3,2022,Thursday,29,C74348,Lakshmi Mishra,lakshmi.mishra39@gmail.com,+91 9346019209,25,Male,New Customer,Silver,380,India,Gujarat,Surat,395001,P009,Lenovo IdeaPad Slim 5,Lenovo,Electronics,Laptops,LEN-IPS5-16,4.2,4,52990,20,MEGA20,211960,42392,169568,84784,84784,50.0,Express (2-3 days),0,Bengaluru WH,2,3,No,Delivered,No,,0,UPI,Paid,0,Ajio,YouTube Ads,YT-Brand-Awareness,Desktop,Web,1.6,2,Positive,Yes,4,2022-07
EC-2024-05-000097,2024-05-03,18:53:28,May,5,Q2,2024,Friday,18,C23619,Nisha Das,nisha.das11@yahoo.com,+91 8400419015,25,Female,New Customer,Bronze,806,India,Maharashtra,Pune,411001,P009,Lenovo IdeaPad Slim 5,Lenovo,Electronics,Laptops,LEN-IPS5-16,4.2,3,52990,5,SAVE5,158970,7948,151022,75511,75511,50.0,Express (2-3 days),0,Mumbai WH,3,3,Yes,Delivered,No,,0,Credit Card,Paid,0,Meesho,YouTube Ads,YT-Brand-Awareness,Mobile,App,4.2,4,Positive,No,22,2024-05
EC-2022-03-000098,2022-03-19,00:40:28,March,3,Q1,2022,Saturday,11,C62948,Zara Bajaj,zara.bajaj92@gmail.com,+91 9782804614,47,Female,New Customer,Gold,882,India,Tamil Nadu,Chennai,600001,P012,"Sony Bravia 43"" LED",Sony,Electronics,Televisions,SNY-BRV43,4.5,1,44990,25,SUPER25,44990,11248,33742,17208,16534,49.0,Standard (5-7 days),0,Mumbai WH,5,8,No,Delivered,No,,0,Credit Card,Paid,0,Ajio,Facebook Ads,FB-Retarget-Q4,Mobile,App,2.0,2,Positive,Yes,24,2022-03
EC-2022-10-000100,2022-10-22,19:25:19,October,10,Q4,2022,Saturday,42,C79420,Kavya Desai,kavya.desai51@gmail.com,+91 7509099841,53,Male,VIP,Diamond,464,India,Rajasthan,Udaipur,313001,P012,"Sony Bravia 43"" LED",Sony,Electronics,Televisions,SNY-BRV43,4.5,7,44990,0,NONE,314930,0,314930,160614,154316,49.0,Express (2-3 days),0,Delhi WH,2,3,No,Delivered,No,,0,Credit Card,Paid,0,Meesho,Email Campaign,Email-Winback,Mobile,App,3.0,3,Neutral,Yes,6,2022-10
EC-2022-11-000105,2022-11-12,13:26:22,November,11,Q4,2022,Saturday,45,C25705,Rohan Das,rohan.das34@yahoo.com,+91 7634292451,33,Female,VIP,Silver,986,India,West Bengal,Howrah,711101,P005,Redmi Note 13 Pro,Xiaomi,Electronics,Smartphones,XMI-RN13P,4.3,2,24999,10,FLAT10,49998,5000,44998,20249,24749,55.0,Express (2-3 days),0,Chennai WH,3,5,No,Delivered,No,,0,COD,Paid,0,App,Organic Search,SEO-Organic,Mobile,App,3.2,3,Positive,Yes,12,2022-11
EC-2022-03-000107,2022-03-18,08:32:36,March,3,Q1,2022,Friday,11,C45490,Varun Patel,varun.patel76@gmail.com,+91 9416696760,61,Female,Regular,Diamond,331,India,Delhi,Rohini,110085,P008,HP Spectre x360,HP,Electronics,Laptops,HP-SPX360-14,4.5,4,169900,0,NONE,679600,0,679600,360188,319412,47.0,Express (2-3 days),0,Delhi WH,3,6,No,Delivered,No,,0,Credit Card,Paid,0,Amazon,Instagram Ads,IG-Reel-Shop,Tablet,App,2.1,2,Positive,Yes,6,2022-03
EC-2023-08-000108,2023-08-22,15:55:17,August,8,Q3,2023,Tuesday,34,C79915,Riya Mukherjee,riya.mukherjee38@gmail.com,+91 9403688919,28,Male,New Customer,Bronze,1245,India,Punjab,Ludhiana,141001,P014,Samsung Tab S9+,Samsung,Electronics,Tablets,SAM-TABS9P,4.6,2,84999,0,NONE,169998,0,169998,86699,83299,49.0,Standard (5-7 days),0,Hyderabad WH,5,5,Yes,Delivered,No,,0,COD,Paid,0,Flipkart,YouTube Ads,YT-Brand-Awareness,Mobile,App,4.6,5,Neutral,Yes,17,2023-08
EC-2022-10-000118,2022-10-13,13:11:54,October,10,Q4,2022,Thursday,41,C69353,Kavya Pandey,kavya.pandey25@gmail.com,+91 7056100115,33,Male,Regular,Platinum,349,India,Telangana,Hyderabad,500001,P003,Samsung Galaxy S24,Samsung,Electronics,Smartphones,SAM-S24-256,4.6,1,79999,0,NONE,79999,0,79999,40799,39200,49.0,Express (2-3 days),0,Chennai WH,3,3,Yes,Delivered,No,,0,Debit Card,Paid,0,Company Website,Direct,Direct-Visit,Mobile,App,1.6,2,Positive,Yes,19,2022-10
EC-2022-11-000134,2022-11-11,14:24:30,November,11,Q4,2022,Friday,45,C71682,Nalini Iyer,nalini.iyer21@gmail.com,+91 7365078713,24,Female,New Customer,Gold,867,India,Andhra Pradesh,Vijayawada,520001,P003,Samsung Galaxy S24,Samsung,Electronics,Smartphones,SAM-S24-256,4.6,7,79999,5,SAVE5,559993,28000,531993,271316,260677,49.0,Express (2-3 days),0,Chennai WH,2,3,No,In Transit,No,,0,UPI,Paid,0,Ajio,Google Ads,GGL-PMax-2024,Desktop,Web,4.5,4,Positive,Yes,17,2022-11
EC-2024-09-000138,2024-09-11,20:41:05,September,9,Q3,2024,Wednesday,37,C26995,Lakshmi Reddy,lakshmi.reddy56@gmail.com,+91 8190887737,52,Female,New Customer,Gold,202,India,Telangana,Karimnagar,505001,P003,Samsung Galaxy S24,Samsung,Electronics,Smartphones,SAM-S24-256,4.6,2,79999,0,NONE,159998,0,159998,81599,78399,49.0,Standard (5-7 days),0,Mumbai WH,5,5,Yes,Out for Delivery,No,,0,UPI,Paid,0,Meesho,Instagram Ads,IG-Reel-Shop,Mobile,App,2.0,2,Neutral,Yes,10,2024-09
EC-2022-09-000139,2022-09-09,08:48:22,September,9,Q3,2022,Friday,36,C16765,Pooja Gupta,pooja.gupta27@gmail.com,+91 7283669218,29,Male,New Customer,Bronze,653,India,Kerala,Kozhikode,673001,P002,iPhone 15 Pro 256GB,Apple,Electronics,Smartphones,APL-IPH15P-256,4.8,1,134900,10,FLAT10,134900,13490,121410,60705,60705,50.0,Standard (5-7 days),0,Chennai WH,5,5,Yes,Delivered,No,,0,Credit Card,Paid,0,Amazon,Instagram Ads,IG-Reel-Shop,Mobile,App,4.4,4,Positive,Yes,15,2022-09
EC-2022-06-000142,2022-06-10,05:13:16,June,6,Q2,2022,Friday,23,C17728,Meera Mishra,meera.mishra50@gmail.com,+91 7215785669,19,Male,Regular,Platinum,961,India,Telangana,Hyderabad,500001,P010,"Samsung 55"" 4K QLED",Samsung,Electronics,Televisions,SAM-TV55-QLED,4.7,5,89990,10,FLAT10,449950,44995,404955,214626,190329,47.0,Express (2-3 days),0,Hyderabad WH,3,3,Yes,Delivered,No,,0,Credit Card,Paid,0,BigBasket,Facebook Ads,FB-Retarget-Q4,Desktop,Web,2.4,3,Positive,Yes,20,2022-06
EC-2023-03-000147,2023-03-04,18:17:58,March,3,Q1,2023,Saturday,9,C54690,Dhruv Malhotra,dhruv.malhotra35@gmail.com,+91 9937041998,31,Female,New Customer,Silver,3,India,Delhi,New Delhi,110001,P010,"Samsung 55"" 4K QLED",Samsung,Electronics,Televisions,SAM-TV55-QLED,4.7,3,89990,5,SAVE5,269970,13498,256472,135930,120542,47.0,Express (2-3 days),0,Bengaluru WH,2,2,Yes,Delivered,No,,0,Credit Card,Pending,0,Company Website,App Notification,Push-Flash-Sale,Mobile,App,2.9,3,Positive,No,15,2023-03
EC-2023-03-000148,2023-03-19,12:52:25,March,3,Q1,2023,Sunday,11,C27206,Amit Patel,amit.patel13@yahoo.com,+91 8388160934,33,Male,Regular,Bronze,816,India,Gujarat,Surat,395001,P001,iPhone 15 128GB,Apple,Electronics,Smartphones,APL-IPH15-128,4.7,5,79900,0,NONE,399500,0,399500,207740,191760,48.0,Standard (5-7 days),0,Delhi WH,6,6,Yes,Delivered,No,,0,UPI,Paid,0,Company Website,Influencer,Influencer-Collab,Mobile,App,4.1,4,Neutral,Yes,21,2023-03
EC-2023-04-000150,2023-04-07,20:43:21,April,4,Q2,2023,Friday,14,C40037,Riya Desai,riya.desai28@gmail.com,+91 8782989080,39,Male,Regular,Bronze,229,India,Tamil Nadu,Tiruchirappalli,620001,P012,"Sony Bravia 43"" LED",Sony,Electronics,Televisions,SNY-BRV43,4.5,5,44990,0,NONE,224950,0,224950,114724,110226,49.0,Express (2-3 days),0,Delhi WH,2,2,Yes,Delivered,No,,0,Credit Card,Paid,0,Myntra,Referral,Refer-Earn-50,Mobile,App,4.2,4,Positive,Yes,11,2023-04
EC-2023-04-000159,2023-04-10,10:51:50,April,4,Q2,2023,Monday,15,C57424,Aishwarya Nair,aishwarya.nair86@gmail.com,+91 9727102402,47,Male,New Customer,Silver,1245,India,Andhra Pradesh,Vijayawada,520001,P013,"iPad Pro 12.9"" M2",Apple,Electronics,Tablets,APL-IPDP-M2-12,4.7,3,112900,5,SAVE5,338700,16935,321765,167318,154447,48.0,Express (2-3 days),0,Chennai WH,3,3,Yes,Delivered,No,,0,Debit Card,Paid,0,Ajio,YouTube Ads,YT-Brand-Awareness,Mobile,App,2.1,2,Neutral,Yes,16,2023-04
EC-2022-07-000160,2022-07-13,14:26:40,July,7,Q3,2022,Wednesday,28,C65909,Leela Nair,leela.nair91@yahoo.com,+91 8194785954,35,Male,Regular,Bronze,1356,India,Karnataka,Mangaluru,575001,P012,"Sony Bravia 43"" LED",Sony,Electronics,Televisions,SNY-BRV43,4.5,1,44990,5,SAVE5,44990,2250,42740,21797,20943,49.0,Next Day,0,Chennai WH,1,2,No,Delivered,No,,0,EMI,Failed,3,BigBasket,Organic Search,SEO-Organic,Mobile,App,1.3,1,Positive,No,6,2022-07
EC-2023-12-000161,2023-12-02,18:55:38,December,12,Q4,2023,Saturday,48,C70832,Raghu Das,raghu.das75@gmail.com,+91 8773817414,25,Male,New Customer,Silver,210,India,Gujarat,Vadodara,390001,P012,"Sony Bravia 43"" LED",Sony,Electronics,Televisions,SNY-BRV43,4.5,1,44990,10,FLAT10,44990,4499,40491,20650,19841,49.0,Same Day,0,Mumbai WH,1,1,Yes,Delivered,No,,0,Credit Card,Pending,0,Flipkart,Organic Search,SEO-Organic,Mobile,App,2.9,3,Positive,No,25,2023-12
EC-2023-02-000164,2023-02-20,06:14:43,February,2,Q1,2023,Monday,8,C67370,Vivek Chatterjee,vivek.chatterjee41@gmail.com,+91 8331431645,38,Female,Regular,Diamond,1002,India,Gujarat,Rajkot,360001,P008,HP Spectre x360,HP,Electronics,Laptops,HP-SPX360-14,4.5,1,169900,0,NONE,169900,0,169900,90047,79853,47.0,Free Shipping,0,Mumbai WH,8,8,Yes,Delivered,No,,0,Debit Card,Paid,0,Flipkart,Influencer,Influencer-Collab,Desktop,Web,3.2,3,Positive,Yes,20,2023-02
EC-2023-09-000167,2023-09-08,21:46:54,September,9,Q3,2023,Friday,36,C28856,Tanvi Reddy,tanvi.reddy51@gmail.com,+91 8819892140,31,Female,Regular,Silver,207,India,Gujarat,Vadodara,390001,P009,Lenovo IdeaPad Slim 5,Lenovo,Electronics,Laptops,LEN-IPS5-16,4.2,1,52990,15,FESTIVE15,52990,7948,45042,22521,22521,50.0,Next Day,0,Chennai WH,1,1,Yes,Delivered,No,,0,UPI,Paid,0,Ajio,Referral,Refer-Earn-50,Mobile,App,4.2,5,Positive,Yes,9,2023-09
EC-2022-10-000172,2022-10-18,10:45:52,October,10,Q4,2022,Tuesday,42,C47205,Uday Shah,uday.shah57@gmail.com,+91 8818132038,41,Male,New Customer,Bronze,2,India,Maharashtra,Thane,400601,P002,iPhone 15 Pro 256GB,Apple,Electronics,Smartphones,APL-IPH15P-256,4.8,7,134900,5,SAVE5,944300,47215,897085,448542,448543,50.0,Next Day,0,Hyderabad WH,1,1,Yes,Delivered,No,,0,UPI,Paid,0,Amazon,Influencer,Influencer-Collab,Mobile,App,2.1,2,Positive,Yes,4,2022-10
EC-2024-11-000173,2024-11-03,14:26:15,November,11,Q4,2024,Sunday,44,C41860,Divya Agarwal,divya.agarwal35@yahoo.com,+91 7732638490,31,Male,New Customer,Bronze,480,India,Karnataka,Hubli,580020,P005,Redmi Note 13 Pro,Xiaomi,Electronics,Smartphones,XMI-RN13P,4.3,1,24999,0,NONE,24999,0,24999,11250,13749,55.0,Standard (5-7 days),0,Chennai WH,6,7,No,Delivered,No,,0,Credit Card,Paid,0,Flipkart,Referral,Refer-Earn-50,Mobile,App,3.1,3,Positive,Yes,22,2024-11
EC-2023-01-000175,2023-01-06,18:35:26,January,1,Q1,2023,Friday,1,C35129,Tanvi Patel,tanvi.patel29@gmail.com,+91 9166028714,18,Male,Regular,Bronze,1224,India,Uttar Pradesh,Noida,201301,P010,"Samsung 55"" 4K QLED",Samsung,Electronics,Televisions,SAM-TV55-QLED,4.7,4,89990,10,FLAT10,359960,35996,323964,171701,152263,47.0,Standard (5-7 days),0,Kolkata WH,5,6,No,Delivered,No,,0,Wallet,Paid,0,Flipkart,Facebook Ads,FB-Retarget-Q4,Mobile,App,2.3,2,Neutral,No,2,2023-01
